#TLD: top
#Script/Language Identifier: ja
#Script/Language Description: Japanese
#Version: 1.0
#Effective Date: 2015-11-12
U+30C3	# KATAKANA LETTER SMALL TU
U+30C4	# KATAKANA LETTER TU
U+30C5	# KATAKANA LETTER DU
U+30C6	# KATAKANA LETTER TE
U+30C7	# KATAKANA LETTER DE
U+30C8	# KATAKANA LETTER TO
U+30C9	# KATAKANA LETTER DO
U+30CA	# KATAKANA LETTER NA
U+30CB	# KATAKANA LETTER NI
U+30CC	# KATAKANA LETTER NU
U+30CD	# KATAKANA LETTER NE
U+30CE	# KATAKANA LETTER NO
U+30CF	# KATAKANA LETTER HA
U+30D0	# KATAKANA LETTER BA
U+30D1	# KATAKANA LETTER PA
U+30D2	# KATAKANA LETTER HI
U+30D3	# KATAKANA LETTER BI
U+30D4	# KATAKANA LETTER PI
U+30D5	# KATAKANA LETTER HU
U+30D6	# KATAKANA LETTER BU
U+30D7	# KATAKANA LETTER PU
U+30D8	# KATAKANA LETTER HE
U+30D9	# KATAKANA LETTER BE
U+30DA	# KATAKANA LETTER PE
U+30DB	# KATAKANA LETTER HO
U+30DC	# KATAKANA LETTER BO
U+30DD	# KATAKANA LETTER PO
U+30DE	# KATAKANA LETTER MA
U+30DF	# KATAKANA LETTER MI
U+30E0	# KATAKANA LETTER MU
U+30E1	# KATAKANA LETTER ME
U+30E2	# KATAKANA LETTER MO
U+30E3	# KATAKANA LETTER SMALL YA
U+30E4	# KATAKANA LETTER YA
U+30E5	# KATAKANA LETTER SMALL YU
U+30E6	# KATAKANA LETTER YU
U+30E7	# KATAKANA LETTER SMALL YO
U+30E8	# KATAKANA LETTER YO
U+30E9	# KATAKANA LETTER RA
U+30EA	# KATAKANA LETTER RI
U+30EB	# KATAKANA LETTER RU
U+30EC	# KATAKANA LETTER RE
U+30ED	# KATAKANA LETTER RO
U+30EE	# KATAKANA LETTER SMALL WA
U+30EF	# KATAKANA LETTER WA
U+30F0	# KATAKANA LETTER WI
U+30F1	# KATAKANA LETTER WE
U+30F2	# KATAKANA LETTER WO
U+30F3	# KATAKANA LETTER N
U+30F4	# KATAKANA LETTER VU
U+30F5	# KATAKANA LETTER SMALL KA
U+30F6	# KATAKANA LETTER SMALL KE
U+30FD	# KATAKANA ITERATION MARK
U+30FE	# KATAKANA VOICED ITERATION MARK
U+4E00	# CJK Ideograph
U+4E01	# CJK Ideograph
U+4E03	# CJK Ideograph
U+4E07	# CJK Ideograph
U+4E08	# CJK Ideograph
U+4E09	# CJK Ideograph
U+4E0A	# CJK Ideograph
U+4E0B	# CJK Ideograph
U+4E0D	# CJK Ideograph
U+4E0E	# CJK Ideograph
U+4E10	# CJK Ideograph
U+4E11	# CJK Ideograph
U+4E14	# CJK Ideograph
U+4E15	# CJK Ideograph
U+4E16	# CJK Ideograph
U+4E17	# CJK Ideograph
U+4E18	# CJK Ideograph
U+4E19	# CJK Ideograph
U+4E1E	# CJK Ideograph
U+4E21	# CJK Ideograph
U+4E26	# CJK Ideograph
U+4E2A	# CJK Ideograph
U+4E2D	# CJK Ideograph
U+4E31	# CJK Ideograph
U+4E32	# CJK Ideograph
U+4E36	# CJK Ideograph
U+4E38	# CJK Ideograph
U+4E39	# CJK Ideograph
U+4E3B	# CJK Ideograph
U+4E3C	# CJK Ideograph
U+4E3F	# CJK Ideograph
U+4E42	# CJK Ideograph
U+4E43	# CJK Ideograph
U+4E45	# CJK Ideograph
U+4E4B	# CJK Ideograph
U+4E4D	# CJK Ideograph
U+4E4E	# CJK Ideograph
U+4E4F	# CJK Ideograph
U+4E55	# CJK Ideograph
U+4E56	# CJK Ideograph
U+4E57	# CJK Ideograph
U+4E58	# CJK Ideograph
U+4E59	# CJK Ideograph
U+4E5D	# CJK Ideograph
U+4E5E	# CJK Ideograph
U+4E5F	# CJK Ideograph
U+4E62	# CJK Ideograph
U+4E71	# CJK Ideograph
U+4E73	# CJK Ideograph
U+4E7E	# CJK Ideograph
U+4E80	# CJK Ideograph
U+4E82	# CJK Ideograph
U+4E85	# CJK Ideograph
U+4E86	# CJK Ideograph
U+4E88	# CJK Ideograph
U+4E89	# CJK Ideograph
U+4E8A	# CJK Ideograph
U+4E8B	# CJK Ideograph
U+4E8C	# CJK Ideograph
U+4E8E	# CJK Ideograph
U+4E91	# CJK Ideograph
U+4E92	# CJK Ideograph
U+4E94	# CJK Ideograph
